Date,Symbol,Action,Entry_Price,Stop_Loss,Take_Profit,Position_Size,Time_Horizon
2024-11-11 09:30:00-05:00,CMT,Sell Short,17.19,17.565728815286114,16.626406777070834,10,Short-term
2024-11-11 09:30:00-05:00,CRGY,Sell Short,13.83,14.15946993466671,13.335795097999934,10,Short-term
2024-11-11 09:30:00-05:00,BYD,Sell Short,74.44,75.7626601707403,72.45600974388955,10,Short-term
2024-11-11 09:30:00-05:00,EGP,Sell Short,177.98,180.28511681947944,174.5223247707808,10,Short-term
2024-11-11 09:30:00-05:00,KRT,Sell Short,30.36,31.15213192243337,29.171802116349944,10,Short-term
2024-11-11 09:30:00-05:00,RCMT,Sell Short,24.7,25.507864600121064,23.4882030998184,10,Short-term
2024-11-11 10:00:00-05:00,CRGY,Sell Short,13.94,14.271650653619087,13.442524019571367,10,Short-term
2024-11-11 10:00:00-05:00,EGP,Sell Short,178.39,180.7576084752309,174.83858728715362,10,Short-term
2024-11-11 10:00:00-05:00,RCMT,Sell Short,25.09,25.933017128683847,23.82547430697423,10,Short-term
2024-11-11 11:00:00-05:00,CENT,Sell Short,38.06,38.82043969224607,36.919340461630895,10,Short-term
2024-11-11 11:00:00-05:00,WBS,Sell Short,60.86,62.665010767568035,58.15248384864795,10,Short-term
2024-11-11 12:00:00-05:00,IDT,Sell Short,51.39,52.54489845299575,49.65765232050637,10,Short-term
2024-11-11 12:00:00-05:00,CENT,Sell Short,38.27,39.0189797142285,37.146530428657265,10,Short-term
2024-11-11 12:00:00-05:00,RCMT,Sell Short,25.29,26.114540279324338,24.053189581013495,10,Short-term
2024-11-11 13:00:00-05:00,CMT,Sell Short,17.4,17.802752038041092,16.79587194293836,10,Short-term
2024-11-11 14:00:00-05:00,FOLD,Buy,10.7,10.362165737272,11.206751394091995,10,Short-term
2024-11-11 14:00:00-05:00,WBS,Sell Short,60.88,62.51606000595736,58.425909991063975,10,Short-term
2024-11-11 15:00:00-05:00,IDT,Sell Short,51.22,52.374683637475094,49.48797454378735,10,Short-term
2024-11-11 15:00:00-05:00,FOLD,Buy,10.695,10.368439613181145,11.184840580228283,10,Short-term
2024-11-12 09:30:00-05:00,VLGEA,Sell Short,33.98,34.69656315734496,32.90515526398255,10,Short-term
2024-11-12 09:30:00-05:00,REXR,Buy,41.83,41.09769212316503,42.92846181525245,10,Short-term
2024-11-12 09:30:00-05:00,IDT,Sell Short,51.73,52.935063377655446,49.92240493351682,10,Short-term
2024-11-12 10:00:00-05:00,FOLD,Buy,10.535,10.18771068687558,11.055933969686631,10,Short-term
2024-11-12 10:00:00-05:00,REXR,Buy,41.7,40.96999982865325,42.795000257020135,10,Short-term
2024-11-12 10:00:00-05:00,KRT,Sell Short,31.1,31.859174791843483,29.961237812234778,10,Short-term
2024-11-12 11:00:00-05:00,TNL,Buy,52.94,52.1876203785065,54.068569432240245,10,Short-term
2024-11-12 11:00:00-05:00,MAS,Buy,79.76,78.66113646907432,81.40829529638853,10,Short-term
2024-11-12 11:00:00-05:00,GNL,Buy,7.55,7.383109417040972,7.800335874438542,10,Short-term
2024-11-12 11:00:00-05:00,REXR,Buy,41.73,41.020714126606585,42.793928810090115,10,Short-term
2024-11-12 11:00:00-05:00,CWEN,Buy,26.64,25.96685267115711,27.64972099326434,10,Short-term
2024-11-12 11:00:00-05:00,FOLD,Buy,10.53,10.189659923527323,11.040510114709015,10,Short-term
2024-11-12 12:00:00-05:00,CWEN,Buy,26.66,26.0106489089316,27.6340266366026,10,Short-term
2024-11-12 12:00:00-05:00,MAS,Buy,79.55,78.46248386414044,81.18127420378934,10,Short-term
2024-11-12 12:00:00-05:00,FOLD,Buy,10.435,10.103969928989658,10.931545106515514,10,Short-term
2024-11-12 12:00:00-05:00,SSTK,Buy,32.0,31.217073425242443,33.17438986213634,10,Short-term
2024-11-12 12:00:00-05:00,REXR,Buy,41.63,40.93566311756326,42.67150532365511,10,Short-term
2024-11-12 12:00:00-05:00,GNL,Buy,7.48,7.313601601538046,7.7295975976929325,10,Short-term
2024-11-12 13:00:00-05:00,CWEN,Buy,26.65,26.024173986865055,27.588739019702412,10,Short-term
2024-11-12 13:00:00-05:00,MAS,Buy,79.45,78.39302073098754,81.03546890351868,10,Short-term
2024-11-12 13:00:00-05:00,SSTK,Buy,31.89,31.120139609153696,33.04479058626946,10,Short-term
